     <fileName>halvani-2014.pdf</fileName>    <title>Vebav A Simple Scalable And Fast Authorship Verification Scheme</title> 846 </counter> 
     <fileName>bodwin-2015.pdf</fileName>    <title>A Testingbased Approach To The Discovery Of Differentially Correlated Variable Sets</title> 2 </counter> 
     <fileName>salvador-thesis-2013.pdf</fileName>    <title>Deteccion de Plagio Translingue Utilizando una Red Semantica Multilingue</title> 2 </counter> 
     <fileName>koren-2014.pdf</fileName>    <title>Perceiving Individuality In Harpsichord Performance</title> 2 </counter> 
     <fileName>fridman-2013.pdf</fileName>    <title>Ieee P U B L I S H E D B Y T H E I E E E C O M P U T E R S O C I E T Y Computer orgitpro Security Darpa</title> 2 </counter> 
     <fileName>basile-thesis-2010.pdf</fileName>    <title>Alma Mater Studiorum Universita Di Bologna Dottorato Di Ricerca In Matematica</title> 2 </counter> 
     <fileName>suchomel-2012.pdf</fileName>    <title>Three Way Search Engine Queries With Multifeature Document Comparison For Plagiarism Detection</title> 2 </counter> 
     <fileName>ochab-2014.pdf</fileName>    <title>Jagiellonian University Institute Of English Studies</title> 2 </counter> 
     <fileName>jana-2015.pdf</fileName>    <title>Sister Niveditas Influence On J C Boses Writings</title> 2 </counter> 
     <fileName>jamison-2014.pdf</fileName>    <title>Adjacency Pair Recognition In Wikipedia Discussions Using Lexical Pairs Emily K Jamison And Iryna Gurevych</title> 2 </counter> 
     <fileName>saidane-thesis-2009.pdf</fileName>    <title>Reconnaissance de Texte dans les Image and les Videos en Utilisant des Reseaux de Neurones a Convolutions</title> 2 </counter> 
     <fileName>bal-2008.pdf</fileName>    <title>Interactive Degraded Document Enhancement and Ground Truth Generation</title> 2 </counter> 
     <fileName>shlesinger-2009.pdf</fileName>    <title>Text Categorization Is One Of The Major Problems Of The Field Of Machine Learning Sebastiani</title> 2 </counter> 
     <fileName>agramon-llc-review-2011.pdf</fileName>    <title>Scalability Issues in Authorship Attribution</title> 2 </counter> 
     <fileName>legara-2011.pdf</fileName>    <title>Ranking of Predictor Variables Based on Effect Size Criterion Provides an Accurate Means of Automatically Classifying Opinion Column Articles</title> 2 </counter> 
     <fileName>gomez-2010.pdf</fileName>    <title>Using Biased Discriminant Analysis for Email Filtering</title> 2 </counter> 
     <fileName>luong-and-millet-2003.pdf</fileName>    <title>Mesures De Distance Grammaticale Entre Les Textes revel unice frcorpusdocument html id</title> 2 </counter> 
     <fileName>kuang-2012.pdf</fileName>    <title>A New Method of Authors Identification for Copyright Protection</title> 2 </counter> 
     <fileName>almishari-2014.pdf</fileName>    <title>Fighting Authorship Linkability With Crowdsourcing Mishari Almishari</title> 2 </counter> 
     <fileName>escalante-2009.pdf</fileName>    <title>Particle Swarm Model Selection for Authorship Verification</title> 2 </counter> 
     <fileName>argamon-jasist-special.pdf</fileName>    <title>To The Special Topic Section On The Computational Analysis Of Style</title> 2 </counter> 
     <fileName>luyckx-coling-2008.pdf</fileName>    <title>Authorship Attribution and Verification with Many Authors and Limited Data</title> 2 </counter> 
     <fileName>uribe-2013.pdf</fileName>    <title>Measuring Feature Distributions in Sentiment Classification</title> 2 </counter> 
     <fileName>hassan-2011.pdf</fileName>    <title>Author Assertion Of Furtive Write Print Using Character Ngrams Feryal H Hassan A Mousmi A Chaurasia B C</title> 2 </counter> 
     <fileName>blanch-thesis-2009.pdf</fileName>    <title>A Reassessment of the Authorship of the Cheap Repository Tracts</title> 2 </counter> 
     <fileName>bekkerman-thesis-2008.pdf</fileName>    <title>Combinatorial Markov Random Fields And Their Applications To Information Organization A Dissertation Presented By Ron Bekkerman Submitted To The Graduate School Of The University Of Massachusetts Amhe</title> 2 </counter> 
     <fileName>turkoglu-2007.pdf</fileName>    <title>Author Attribution of Turkish Texts by Feature Mining</title> 2 </counter> 
     <fileName>fish-2009.pdf</fileName>    <title>Bayesian Markovian Spam Filtering</title> 2 </counter> 
     <fileName>osipovs-2014.pdf</fileName>    <title>Построение Моделей Пользователей Распределённой Информационной Системы</title> 2 </counter> 
     <fileName>khosmood-boosting290c-fk.pdf</fileName>    <title>No proper data found.</title> 2 </counter> 
     <fileName>menon-2011.pdf</fileName>    <title>Domain Independent Authorship Attribution without Domain Adaptation</title> 2 </counter> 
     <fileName>kapociute-dzikiene-2014.pdf</fileName>    <title>Issn x Print Issn x online Information Technology And Control T Nr</title> 2 </counter> 
     <fileName>choi-2015.pdf</fileName>    <title>최우식 김성범hwp</title> 2 </counter> 
     <fileName>gasthaus-2007-bscthesis.pdf</fileName>    <title>Institute Of Cognitive Science Bachelors Thesis</title> 2 </counter> 
     <fileName>martins-thesis-2011.pdf</fileName>    <title>Pastel V Contribution Au Classement Statistique Mutualisé De Messages Électroniques Spam</title> 2 </counter> 
     <fileName>koppel-2011.pdf</fileName>    <title>Unsupervised Decomposition of a Document into Authorial Components</title> 2 </counter> 
     <fileName>obafemi-ajaji-2008.pdf</fileName>    <title>Ensemble LUT Classification for Degraded Document Enhancement</title> 2 </counter> 
     <fileName>peters-2015.pdf</fileName>    <title>Canadian Journal Of Education Revue Canadienne De Léducation Canadian Society For The Study Of Education</title> 2 </counter> 
     <fileName>09-iatrolexi-p4-0507-final.pdf</fileName>    <title>Περιγραφή Και Τεκμηρίωση Της Προτεινόμενης Μεθοδολογίας Υλοποίησης Του Έργου</title> 2 </counter> 
     <fileName>graham-thesis-2000.pdf</fileName>    <title>Automatic Detection of Authorship Changes within Single Documents</title> 2 </counter> 
     <fileName>das-gollapalli-2011.pdf</fileName>    <title>On Identifying Academic Homepages for Digital Libraries</title> 2 </counter> 
     <fileName>cilibrasi-clustering-by-compression.pdf</fileName>    <title>Corrected Version Of Ieee Transactions On Information Theory Vol No April Clustering By Compression</title> 2 </counter> 
     <fileName>sun-2009.pdf</fileName>    <title>Study on Feature Selection in Finance Text Categorization</title> 2 </counter> 
     <fileName>jiang-2015.pdf</fileName>    <title>Research Science China Information Sciences Manuscript January vol Xxxxxx xxxxxx Doixxxxxxxxxxxxxx Mining Authorship Characteristics In Bug Repositories Jiang Hezhang Jingxuanma Hong</title> 2 </counter> 
     <fileName>radosevic-2006.pdf</fileName>    <title>Flexible Length Phrases in Document Classification</title> 1 </counter> 
     <fileName>baayen-and-tweedie.pdf</fileName>    <title>Outside The Cave Of Shadows Using Syntactic Annotation To Enhance Authorship Attribution</title> 1 </counter> 
     <fileName>zanon-jnmr-2003.pdf</fileName>    <title>In Studies Of Music Performance Rule Systems Have Been</title> 1 </counter> 
     <fileName>sherwani-2015.pdf</fileName>    <title>International Journal Of Scientific Progress And Research Ijspr Issn Volume Number</title> 1 </counter> 
     <fileName>bellaachia-2009.pdf</fileName>    <title>Abstractmusic Information Retrieval Mir And Modern Data Mining Techniques Are Applied To Identify Style Markers In Midi Music</title> 1 </counter> 
     <fileName>massung-2013.pdf</fileName>    <title>Structural Parse Tree Features for Text Representation</title> 1 </counter> 
     <fileName>rudman-dh-2012.pdf</fileName>    <title>The Twelve Disputed Federalist Papers A Case For Collaboration</title> 1 </counter> 
     <fileName>pandian-2015.pdf</fileName>    <title>Innovative Methods In Identifying Authors Of Documents</title> 1 </counter> 
     <fileName>rauber-2008.pdf</fileName>    <title>Ethical Issues In Web Archive Creation And Usage Towards A Research Agenda</title> 1 </counter> 
     <fileName>noecker-llc-2013.pdf</fileName>    <title>Psychological Profiling through Textual Analysis</title> 1 </counter> 
     <fileName>micol-2011.pdf</fileName>    <title>Investigating Advanced Techniques For Document Content Similarity Applied To External Plagiarism Analysis</title> 1 </counter> 
     <fileName>tan-2010.pdf</fileName>    <title>Authorship Identification for Online Text</title> 1 </counter> 
     <fileName>aroca-2008.pdf</fileName>    <title>On Building an Automatic Text Classification Model with Minimal Computational Costs</title> 1 </counter> 
     <fileName>maharjan-2014.pdf</fileName>    <title>A Straightforward Author Profiling Approach In Mapreduce</title> 1 </counter> 
     <fileName>labbe-fakedetectionsci-perso.pdf</fileName>    <title>Hal V Duplicate And Fake Publications In The Scientific Literature How Many Scigen Papers In Computer Science</title> 1 </counter> 
          <title>La UE enviará más ayuda a Haití</title>  1 </counter> 
     <fileName>song-2014.pdf</fileName>    <title>Noname Manuscript No Will Be Inserted By The Editorcomputation Of Program Source Code Similarity By Composition Of Parse Tree And Call Graph Hyunje Song Seongbae Park Se Young Park Receiveddate Acce</title> 1 </counter> 
     <fileName>takci-2012.pdf</fileName>    <title>Character Level Authorship Attribution for Turkish Text Documents</title> 1 </counter> 
     <fileName>bohne-2015.pdf</fileName>    <title>Heuristic Strategies For Single Document Analysis</title> 1 </counter> 
     <fileName>thomas-2011.pdf</fileName>    <title>Feature Extraction and Author Profile Creation from Documents in Malayalam</title> 1 </counter> 
     <fileName>m-eder-systematic-errors.pdf</fileName>    <title>Mind Your Corpus Systematic Errors In Authorship Attribution</title> 1 </counter> 
     <fileName>cafiero-2011.pdf</fileName>    <title>Setting Bounds In An Homogeneous Corpus A Methodological Study Applied To Medieval Literature</title> 1 </counter> 
     <fileName>mccarthy-2007.pdf</fileName>    <title>Textual Signaturesidentifying Texttypes Using Latent Semantic Analysis To Measure The Cohesion Of Text Structures Philip Mmccarthystephen Wbrinervasile Rusand Danielle Smcnamara Ju</title> 1 </counter> 
     <fileName>legal-evidence-2013.pdf</fileName>    <title>Legal Evidence And Advanced Computing Techniques For Combatting Crime An Overview</title> 1 </counter> 
     <fileName>savoy-tois-2012.pdf</fileName>    <title>Authorship Attribution Based on Specific Vocabulary</title> 1 </counter> 
     <fileName>pxc3884665.pdf</fileName>    <title>Use Of Generalized Regression Neural Network In Authorship Attribution</title> 1 </counter> 
     <fileName>brocardo-2014.pdf</fileName>    <title>Toward A Framework For Continuous Authentication Using Stylometry</title> 1 </counter> 
     <fileName>almishari-2013.pdf</fileName>    <title>Privacypreserving Matching Of Communitycontributed Content</title> 1 </counter> 
     <fileName>romero-2007.pdf</fileName>    <title>Computer Assisted Transcription for Ancient Text Images</title> 1 </counter> 
     <fileName>veijalainen-2010.pdf</fileName>    <title>Tracing Potential School Shooters in the Digital Sphere</title> 1 </counter> 
     <fileName>ding-2015.pdf</fileName>    <title>A Visualizable Evidencedriven Approach For Authorship Attribution</title> 1 </counter> 
     <fileName>giraud-2012.pdf</fileName>    <title>Feature Bagging for Author Attribution</title> 1 </counter> 
     <fileName>peruginelli2004a.pdf</fileName>    <title>Ginevra Peruginella Literature Review On Multilingual Information Access Approaches Developments And Trends</title> 1 </counter> 
     <fileName>alvarez-rodriguez-2015.pdf</fileName>    <title>Enabling Policy Making Processes By Unifying And Reconciling Corporate Names In Public Procurement Data The Corfu Technique</title> 1 </counter> 
     <fileName>liu-2012.pdf</fileName>    <title>A Novel Random Subspace Method for Online Writeprint Identification</title> 1 </counter> 
     <fileName>santini-and-rosso-2008.pdf</fileName>    <title>Testing A Genreenabled Application A Preliminary Assessment</title> 1 </counter> 
     <fileName>rudman-2012.pdf</fileName>    <title>The State Of Nontraditional Authorship Attribution Studies Some Problems And Solutions</title> 1 </counter> 
     <fileName>stein-eissen-2008.pdf</fileName>    <title>Scandinavian Journal Of Information Systems Retrieval Models For Genre</title> 1 </counter> 
     <fileName>liangboonprakong-2013.pdf</fileName>    <title>Classification Of Malware Families Based On Ngrams Sequential Pattern Featureschatchai Liangboonprakongdepartment Of Computer Sciencesuan Sunandha Rajabhat Universitybangkokthailandchatcchai lissru</title> 1 </counter> 
     <fileName>author-chatlogs.pdf</fileName>    <title>Author Identification In Chatlogs Using Formal Concept Analysis</title> 1 </counter> 
     <fileName>juola-pan-2012.pdf</fileName>    <title>An Overview of the Traditional Authorship Attribution Subtask</title> 1 </counter> 
     <fileName>chaudhary-2016.pdf</fileName>    <title>A Hybrid Ensemble For Classification In Multiclass Datasets An Application To Oilseed Disease Dataset</title> 1 </counter> 
     <fileName>solorio-.pdf</fileName>    <title>Sockpuppet Detection In Wikipedia A Corpus Of Realworld Deceptive Writing For Linking Identities</title> 1 </counter> 
     <fileName>barron-cedeno-2009.pdf</fileName>    <title>On the Relevance of Search Space Reduction in Automatic Plagiarism Detection</title> 1 </counter> 
     <fileName>rotella-2014.pdf</fileName>    <title>Appl Intell Doi sz</title> 1 </counter> 
     <fileName>jankowska-dcsi-2013.pdf</fileName>    <title>Proximity Based Oneclass Classification With Common Ngram Dissimilarity For Authorship Verification Task</title> 1 </counter> 
     <fileName>serra-joan-phd-thesis-2011.pdf</fileName>    <title>Identification of Versions of the Same Musical Composition by Processing Audio Descriptions</title> 1 </counter> 
     <fileName>graham-nle-2005.pdf</fileName>    <title>Segmenting Documents by Stylistic Character</title> 1 </counter> 
     <fileName>kestemont-2009.pdf</fileName>    <title>Predicting The Past Memory Based Copyist And Author</title> 1 </counter> 
     <fileName>lambers-2009.pdf</fileName>    <title>Forensic Authorship Attribution Using Compression Distances to Prototypes</title> 1 </counter> 
     <fileName>yoshikuni-2013.pdf</fileName>    <title>Account Reachability A Measure Of Privacy Risk For Exposure Of A Users Multiple Sns Accounts</title> 1 </counter> 
     <fileName>inches-2011.pdf</fileName>    <title>Online Conversation Mining for Author Characterization and Topic Identification</title> 1 </counter> 
     <fileName>de-la-rosa-perez-2016.pdf</fileName>    <title>Making Machines Learn Applications Of Cultural Analytics To The Humanities</title> 1 </counter> 
     <fileName>kalleberg-thesis-2015.pdf</fileName>    <title>Towards Detecting Textual Plagiarism Using Machine Learning Methods</title> 1 </counter> 
     <fileName>nirkhi-2013.pdf</fileName>    <title>Comparative study of Authorship Identification Techniques for Cyber Forensics Analysis</title> 1 </counter> 
     <fileName>dhondt-2014.pdf</fileName>    <title>ème Traitement Automatique Des Langues Naturelles Marseille Genre Classification Using Balanced Winnow In The Deft Challenge</title> 1 </counter> 
     <fileName>moreau-2014.pdf</fileName>    <title>Author Verification Exploring A Large Set Of Parameters Using A Genetic Algorithm</title> 1 </counter> 
     <fileName>vartapetiance-snam-2014.pdf</fileName>    <title>Original Deception Detection Dependable Or Defective</title> 1 </counter> 
     <fileName>ramirez-ismir-2008.pdf</fileName>    <title>Performer Identification in Celtic Violin Recordings</title> 1 </counter> 
     <fileName>mazzei-2010.pdf</fileName>    <title>Extraction and Classification of Handwritten Annotations</title> 1 </counter> 
     <fileName>akbarpour-2010.pdf</fileName>    <title>Discriminating The Machineprinted And Handwritten Words Based On Legibility</title> 1 </counter> 
     <fileName>goldstein-thesis-2008.pdf</fileName>    <title>Genre Oriented Summarization</title> 1 </counter> 
     <fileName>da-silva-2009.pdf</fileName>    <title>Automatic Discrimination between Printed and Handwritten Text in Documents</title> 1 </counter> 
     <fileName>robine-thesis-2006.pdf</fileName>    <title>Analyse de la Performance Musicale et Synthese Sonore Rapide</title> 1 </counter> 
     <fileName>bermejo-2011.pdf</fileName>    <title>Text categorization</title> 1 </counter> 
     <fileName>king-2015.pdf</fileName>    <title>Ensemble Learning Methods For Payperclick Campaign Management</title> 1 </counter> 
     <fileName>lustrek-genre-identification-tr-06.pdf</fileName>    <title>Overview of Automatic Genre Identification</title> 1 </counter> 
     <fileName>mello-2007.pdf</fileName>    <title>Tsallis Entropybased Thresholding Algorithm For Images Of Historical Documents</title> 1 </counter> 
     <fileName>ashok-2013.pdf</fileName>    <title>Success With Style Using Writing Style To Predict The Success Of Novels</title> 1 </counter> 
     <fileName>chen-and-choi-sac-2008.pdf</fileName>    <title>Web Page Genre Classification</title> 1 </counter> 
     <fileName>kaya-2016.pdf</fileName>    <title>A Novel Approach For Spam Email Detection Based On Shifted Binary Patterns</title> 1 </counter> 
     <fileName>schaalje-2013.pdf</fileName>    <title>An Openset Sizeadjusted Bayesian Classifier For Authorship Attribution</title> 1 </counter> 
     <fileName>brennan-2009.pdf</fileName>    <title>Practical Attacks Against Authorship Recognition Techniques</title> 1 </counter> 
     <fileName>bramsen-2011.pdf</fileName>    <title>Extracting Social Power Relationships from Natural Language</title> 1 </counter> 
     <fileName>437.pdf</fileName>    <title>Who Wrote Shamela? Verifying The Authorship Of A Parodic Text</title> 1 </counter> 
     <fileName>ebrahimpour-2013.pdf</fileName>    <title>Automated Authorship Attribution Using Advanced Signal Classification Techniques</title> 1 </counter> 
     <fileName>layton-2012.pdf</fileName>    <title>Recentred Local Profiles for Authorship Attribution</title> 1 </counter> 
     <fileName>kld-parameter-selection.pdf</fileName>    <title>Optimum Parameter Selection For Kld Based Authorship Attribution In Gujarati</title> 1 </counter> 
     <fileName>vidulin-ecit-2007.pdf</fileName>    <title>Journal Of Computing And Information Technology Cit Doicit</title> 1 </counter> 
     <fileName>stringhini-2014.pdf</fileName>    <title>That Aint You Blocking Spearphishing Emails Before They Are Sent</title> 1 </counter> 
     <fileName>sapkota-2014.pdf</fileName>    <title>Crosstopic Authorship Attribution Will Outoftopic Data Help Upendra Sapkota And Thamar Solorio</title> 1 </counter> 
     <fileName>mason-2009.pdf</fileName>    <title>An Ngram Based Approach To Automatically Identifying Web Page Genre</title> 1 </counter> 
     <fileName>grieve-msc-2005.pdf</fileName>    <title>Quantitative Authorship Attribution A History And An Evaluation Of Techniques</title> 1 </counter> 
     <fileName>samdani-2014.pdf</fileName>    <title>A Discriminative Latent Variable Model For Online Clustering Rajhans Samdani Google Research Rajhansgooglecom</title> 1 </counter> 
     <fileName>giannakopoulos.pdf</fileName>    <title>Summarization System Evaluation Revisited Ngram Graphs</title> 1 </counter> 
     <fileName>kasprzak-2010.pdf</fileName>    <title>Improving the Reliability of the Plagiarism Detection System</title> 1 </counter> 
     <fileName>ntirogiannis-2012.pdf</fileName>    <title>A Performance Evaluation Methodology for Historical Document Image Binarization</title> 1 </counter> 
     <fileName>kriz-2015.pdf</fileName>    <title>Proceedings Of Recent Advances In Natural Language Processing Pages Hissar Bulgaria Sep</title> 1 </counter> 
     <fileName>schaalje-llc.fqq029.full.pdf</fileName>    <title>No proper data found.</title> 1 </counter> 
     <fileName>legara-e.f.-2011-phys-a-stat-mech-appl.pdf</fileName>    <title>Ranking of Predictor Variables Based on Effect Size Criterion Provides an Accurate Means of Automatically Classifying Opinion Column Articles</title> 1 </counter> 
     <fileName>kermanidis-2009.pdf</fileName>    <title>The Effect of Borderline Examples on Language Learning</title> 1 </counter> 
     <fileName>sina-2015.pdf</fileName>    <title>A Hybrid Approach Of Classifier And Clustering For Solving The Missing Node Problem</title> 1 </counter> 
     <fileName>labbelabbe-2012.pdf</fileName>    <title>Hal V Lordinateur Peutil Écrire</title> 1 </counter> 
     <fileName>chaker-ranlp-2007.pdf</fileName>    <title>Combining Classifiers for Flexible Genre Categorization of Web Pages</title> 1 </counter> 
     <fileName>ramirez-2010.pdf</fileName>    <title>Automatic Performer Identification in Commercial Monophonic Jazz Performances</title> 1 </counter> 
     <fileName>vieira-2016.pdf</fileName>    <title>Abordagens De Técnicas De Lsh Aplicadas Ao Problema De Similaridade De Documentos</title> 1 </counter> 
     <fileName>yu-2012.pdf</fileName>    <title>Function Words for Chinese Authorship Attribution</title> 1 </counter> 
     <fileName>tsur-rappoport-2007.pdf</fileName>    <title>Using Classifier Features for Studying the Effect of Native Language on the Choice of Written Second Language Words</title> 1 </counter> 
     <fileName>kermanidis-dh-2009.pdf</fileName>    <title>Paraphrase Learning in Two Phases For Steganographic Communication</title> 1 </counter> 
     <fileName>palkovskii-2014.pdf</fileName>    <title>Developing Highresolution Universal Multi Type Ngram Plagiarism Detector</title> 1 </counter> 
     <fileName>ma-isi-2008.pdf</fileName>    <title>Cc Yang Et Al Eds Isi Workshops Lncs Pp Springerverlag Berlin Heidelberg</title> 1 </counter> 
     <fileName>solorio-ijcnlp-2011.pdf</fileName>    <title>Modality Specific Meta Features for Authorship Attribution in Web Forum Posts</title> 1 </counter> 
     <fileName>tse-2012.pdf</fileName>    <title>Software Pirates A Criminal Investigation</title> 1 </counter> 
     <fileName>ivanov-2015.pdf</fileName>    <title>Digital Presentation And Preservation Of Cultural And Scientific Heritage Issue V Software Library For Authorship Identification</title> 1 </counter> 
     <fileName>lee-thesis-2014.pdf</fileName>    <title>Scripted Earnings Conference Calls As A Signal Of Future Firm Performance</title> 1 </counter> 
     <fileName>zhang-2014.pdf</fileName>    <title>Authorship Identification From Unstructured Texts</title> 1 </counter> 
     <fileName>sun-2013.pdf</fileName>    <title>Synthetic Review Spamming and Defense</title> 1 </counter> 
     <fileName>stylometricwatermarking.pdf</fileName>    <title>Stylometric Watermarking</title> 1 </counter> 
     <fileName>almquist-2011.pdf</fileName>    <title>Experiments to Investigate the Utility of Nearest Neighbour Metrics Based on Linguistically Informed Features for Detecting Textual Plagiarism</title> 1 </counter> 
     <fileName>fang-2009.pdf</fileName>    <title>Latin Etymologies as Features on BNC Text Categorization</title> 1 </counter> 
     <fileName>moreo-fernandez-2013.pdf</fileName>    <title>Universidad De Granada Departamento De Ciencias De La Computacion E Inteligencia Artificial Closeddomain Natural Language Approachesmethods And Applications Tesis Doctoral Alejandro Moreo Fernandez</title> 1 </counter> 
     <fileName>obaidat-2015.pdf</fileName>    <title>See Discussions Stats And Author Profiles For This Publication At wwwresearchgate netpublication Enhancing The Determination Of Aspect</title> 1 </counter> 
     <fileName>villar-thesis-2015.pdf</fileName>    <title>Campus Universitario Dpto De Teoría De La Señal Y Comunicaciones</title> 1 </counter> 
     <fileName>mehri-2012.pdf</fileName>    <title>The Complex Networks Approach for Authorship Attribution of Books</title> 1 </counter> 
     <fileName>ouamour-2013.pdf</fileName>    <title>Authorship Attribution Of Short Historical Arabic Texts Based On Lexical Features</title> 1 </counter> 
     <fileName>liu-2011.pdf</fileName>    <title>Combining Integrated Sampling with SVM Ensembles for Learning from Imbalanced Datasets</title> 1 </counter> 
     <fileName>fourati-2014.pdf</fileName>    <title>Automatic Identification Genre Of Audiovisual Documents</title> 1 </counter> 
     <fileName>barlas-2016.pdf</fileName>    <title>Language Identification In Document Images P Barlas D Hebert C Chatelain S Adam T Paquet</title> 1 </counter> 
     <fileName>deng-2016.pdf</fileName>    <title>Stochastic Model For Phonemes Uncovers An Authordependency Of Their Usage</title> 1 </counter> 
     <fileName>kang-2015.pdf</fileName>    <title>The Full Story Automatic Detection Of Unique News Content In Microblogs</title> 1 </counter> 
     <fileName>rakha-2015.pdf</fileName>    <title>Studying The Needed Effort For Identifying Duplicate Issues</title> 1 </counter> 
     <fileName>obafemi-ajayi-2012.pdf</fileName>    <title>Ieee Transactions On Systems Man And Cyberneticspart A Systems And Humans Vol No May Characterbased Automated Human Perception</title> 1 </counter> 
     <fileName>mikros-2013.pdf</fileName>    <title>Authorship Attribution and Gender Identification in Greek Blogs</title> 1 </counter> 
     <fileName>tang-2014.pdf</fileName>    <title>Mining Language Variation Using Using And Collocation Characteristics</title> 1 </counter> 
     <fileName>zecevic-2012.pdf</fileName>    <title>An Authorship Attribution for Serbian</title> 1 </counter> 
     <fileName>meyerzueissen-thesis-2007.pdf</fileName>    <title>On Information Need and Categorizing Search</title> 1 </counter> 
     <fileName>sbalchiero-2015.pdf</fileName>    <title>Scientists Spirituality In Scientists Words Assessing And Enriching The Results Of A Qualitative Analysis Of Indepth Interviews By Means Of Quantitative Approaches</title> 1 </counter> 
     <fileName>grammar-of-style.pdf</fileName>    <title>Stylistic Strategies Within A Grammar Of Style Robin Tolmach Lakoff</title> 1 </counter> 
     <fileName>argamon-and-juola-2011.pdf</fileName>    <title>Overview Of The International Authorship Identification Competition At Pan</title> 1 </counter> 
     <fileName>stolerman-ifip-2014.pdf</fileName>    <title>Classify But Verify Breaking The Closedworld Assumption In Stylometric Authorship Attribution</title> 1 </counter> 
     <fileName>wilson-2008.pdf</fileName>    <title>Comparing Character And Phoneme Ngrams For Subjective Utterance Recognition</title> 1 </counter> 
     <fileName>guerrero-thesis-2010.pdf</fileName>    <title>A Methodology for Developing User Interfaces to Workflow Information Systems</title> 1 </counter> 
     <fileName>mack-2015.pdf</fileName>    <title>No proper data found.</title> 1 </counter> 
     <fileName>vidulin-ranlp-2007.pdf</fileName>    <title>Using Genres to Improve Search Engines</title> 1 </counter> 
     <fileName>balamurugan-2014.pdf</fileName>    <title>Balamurugan E A Novel Steerable Filters Based Fuzzy Unsharp Masking Scheme For Document Images Enhanc</title> 1 </counter> 
     <fileName>rodrigueztorrejon-2014.pdf</fileName>    <title>Coremo Plagiarism Detector Text Alignment Module</title> 1 </counter> 
     <fileName>saeedi-thesis-2010.pdf</fileName>    <title>An Of The Thesis Of Amirali Saeedi For The Degree Of Master Of Science In</title> 1 </counter> 
     <fileName>papadakis-2015.pdf</fileName>    <title>Graph Vs Bag Representation Models For The Topic Classification Of Web Documents</title> 1 </counter> 
     <fileName>benedetto-2012.pdf</fileName>    <title>The Unreasonable Effectiveness Of Mathematics In Human Sciences The Attribution Of Texts</title> 1 </counter> 
     <fileName>kermanidis-intech-2009.pdf</fileName>    <title>Learning to Build a Semantic Thesaurus from Free Text Corpora without External Help</title> 1 </counter> 
     <fileName>caliskanislam-thesis-2015.pdf</fileName>    <title>Stylometric Fingerprints And Privacy Behavior In Textual Data</title> 1 </counter> 
     <fileName>yampolskiy-2011.pdf</fileName>    <title>Behavioral Cognitive And Virtual Biometrics</title> 1 </counter> 
     <fileName>alsmearat-2015.pdf</fileName>    <title>Emotion Analysis Of Arabic Articles And Its Impact on Identifying the Author's Gender</title> 1 </counter> 
     <fileName>nawab-2014.pdf</fileName>    <title>Comparing Medline Citations Using Modified Ngrams</title> 1 </counter> 
     <fileName>semenov-2011.pdf</fileName>    <title>A Generic Architecture for a Social Network Monitoring and Analysis System</title> 1 </counter> 
     <fileName>beiyu-thesis-final.pdf</fileName>    <title>An Evaluation of Text Classification Methods for Literary Study</title> 1 </counter> 
     <fileName>zarbonyad-2015.pdf</fileName>    <title>Timeaware Authorship Attribution For Short Text Streams Hosein Azarbonyad</title> 1 </counter> 
     <fileName>bilge-2008.pdf</fileName>    <title>Stylometry In Information Retrieval Systems Leyla Bilge</title> 1 </counter> 
     <fileName>tuccinardi-2016.pdf</fileName>    <title>An Application Of A Profilebased Method For Authorship Verification Investigating The Authenticity Of Pliny The Youngers Letter To Trajan Concerning The Christians</title> 1 </counter> 
     <fileName>bogdanova-2011.pdf</fileName>    <title>Extraction Of Highlevel Semantically Rich Features From Natural Language Text</title> 1 </counter> 
     <fileName>tao-li-2010.pdf</fileName>    <title>On combining multiple clusterings</title> 1 </counter> 
     <fileName>sennrich-2015.pdf</fileName>    <title>Modelling And Optimizing On Syntactic Ngrams For Statistical Machine Translation</title> 1 </counter> 
     <fileName>seroussi-2011.pdf</fileName>    <title>Authorship Attribution with Latent Dirichlet Allocation</title> 1 </counter> 
     <fileName>banka-2009.pdf</fileName>    <title>Extraction Of Signature And Handwritten Regions From Official Binary Document Images</title> 1 </counter> 
     <fileName>saba-2013.pdf</fileName>    <title>Semantic Analysis Based Forms Information Retrieval and Classification</title> 1 </counter> 
     <fileName>chaker-icdmw-2007.pdf</fileName>    <title>Genre Categorization of Web Pages</title> 1 </counter> 
     <fileName>hua-2013.pdf</fileName>    <title>Lnai Research On Intrinsic Plagiarism Detection Resolution A Supervised Learning Approach</title> 1 </counter> 
     <fileName>schmidt-2014.pdf</fileName>    <title>A Concept For Plagiarism Detection Based On Compressed Bitmaps Andreas Schmidt Reinhold Becker Daniel Kimmig Robert Senger And Steffen Scholz</title> 1 </counter> 
     <fileName>ramirez-2011.pdf</fileName>    <title>This Has Been Accepted For Inclusion In A Future Issue Of This Journal Content Is Final As Presented With The Exception Of Pagination Ieee Transactions On Evolutionary Computation</title> 1 </counter> 
     <fileName>yang-icmla2-2012.pdf</fileName>    <title>Writing With Style Venue Classification Zaihan Yang Brian D Davison</title> 1 </counter> 
     <fileName>gencosman-2014.pdf</fileName>    <title>Character Ngram Application For Automatic New Topic Identification</title> 1 </counter> 
     <fileName>ranlp09-daelemans.pdf</fileName>    <title>Text categorization</title> 1 </counter> 
